ligandID,SMILES,maxring,numring,PDBs,PDBs_num
6BQ,CC1CCC=CCC(C(CC(C(C(C(CC(=O)O1)OC(=O)C)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)CC(C)C)(C)O)N(C)C)OP(=O)(O)O)CCO)C)O,16,3,5ih1,1
6K9,CC1CC2CCC3C(=C)CC(O3)CCC45CC6C(O4)C7C(O6)C(O5)C8C(O7)CCC(O8)CC(=O)CC9C(CC(C1=C)O2)OC(C9OC)CC(CN)O,22,10,5jh7,1
6L0,C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC=CCCNC(=O)CCC(=O)N(CC1)O)O)O,33,1,5jj5 6z8a,2
6Q1,CN1CCN(CC1)Cc2ccc(cc2)c3cn4c5c3cnc(n5)NCCCCC(=O)NCCC4,14,5,5k0k,1
6QG,Cc1c-2c(on1)COc3cccc(c3)CCCS(=O)(=O)NCc4ccc2cc4,17,5,5l7h,1
6T3,c1cc2cc(c1)-c3ccnc(n3)Nc4ccc(c(c4)COCC=CCOC2)OCCN5CCCC5,18,5,5lbz,1
6TS,CCC(=O)Nc1ccccc1Nc2c(cnc(n2)Nc3ccnc(c3)C#CCCNC(=O)OC4CCCC=CCC4)Cl,8,4,5lcj,1
6VB,c1c(cc2c(c1Cc3cc(cc(c3O)Cc4cc(cc(c4O)Cc5cc(cc(c5O)C2)S(=O)(=O)O)Br)S(=O)(=O)O)O)S(=O)(=O)O,16,5,5lft,1
6VJ,c1ccc(cc1)c2cc3c(c(c2)Cc4cc(cc(c4O)Cc5cc(cc(c5O)Cc6cc(cc(c6O)C3)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)O,16,6,5kpf,1
70A,Cc1cc2ccc1C(COC(=O)Nc3ccc(c(c3)CN(C(=O)C2Nc4ccc5c(c4)ccnc5N)C)C6(CC6)c7[nH]nnn7)C,16,8,5l30,1
70C,Cc1cc2ccc1C(COC(=O)Nc3ccc(c(c3)CN(C(=O)C2Nc4ccc5c(c4)c(cnc5N)F)C)C6(CCCCC6)C(=O)O)C,16,7,5l2z,1
70D,Cc1cc2ccc1C(COC(=O)Nc3ccc(c(c3)CN(C(=O)C2Nc4ccc5c(c4)c(cnc5N)F)C)C6(CCC6)C(=O)O)C,16,7,5l2y,1
71E,CC(C)C(C(=O)NC1Cc2ccc3c(c2)C4(c5cc(ccc5NC4O3)F)c6c(nc(o6)C(NC1=O)C(C)(C)C)c7nc(co7)CO)O,12,7,5lov,1
773,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OCC=Cc4cc5ccccc5nc4)C)C)NC(=O)O2)C,14,5,1nwx,1
78E,CC(C)C1C(=O)NC(C(=O)N2CCCC(N2)C(=O)OCCC=CC=CCCCCC(=O)N1)Cc3cccc(c3)O,22,3,5t9w,1
78R,CC1C(CCC=Cc2cccc(c2)COC(=O)C3CCCN(N3)C(=O)C(NC(=O)C(NC1=O)C(C)C)Cc4cccc(c4)O)OC,22,4,5t9z,1
78X,CC1c2cccc(c2)C=CCCC(C(C(=O)NC(C(=O)NC(C(=O)N3CCCC(N3)C(=O)O1)Cc4cccc(c4)O)C(C)C)C)OC,22,4,5ta2,1
7AZ,c1c(cc2c(c1Cc3cc(cc(c3O)Cc4cc(cc(c4O)Cc5cc(cc(c5O)Cc6cc(cc(c6O)Cc7cc(cc(c7O)C2)P(=O)(O)O)P(=O)(O)O)P(=O)(O)O)P(=O)(O)O)P(=O)(O)O)O)P(=O)(O)O,24,7,6y0j 5lyc,2
7BL,CC=CCC(=CC1CC=CC=CCC(C=C(C(CC=CC(CC(=O)O1)O)OC)C)C)C,18,1,4ycn,1
7BS,CC=CCC(=CC1CC=CC=CCC(C=C(C(CC=CC(CC(=O)O1)OC2C(C(C(C(O2)CO)O)OC)O)OC)C)C)C,18,2,4ycm,1
7C4,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(C)O)C)Cc4ccc(cc4)OC)C)CC(C)C)C)C(C)C)O,23,4,5lzs,1
7DK,COC(=O)Nc1ccc-2c(c1)NC(=O)CCCCCC(c3[nH]cc2n3)NC(=O)C=Cc4cc(ccc4n5cnnn5)Cl,13,5,5tku,1
7DL,COC(=O)Nc1ccc-2c(c1)CCCCCCCC(c3[nH]c(c2n3)Cl)NC(=O)C=Cc4cc(ccc4n5cnnn5)Cl,13,5,5tks,1
7DS,COC(=O)Nc1ccc-2c(c1)NC(=O)CCC=CCC(c3[nH]cc2n3)NC(=O)C=Cc4cc(ccc4n5cnnn5)Cl,13,5,5tkt,1
